"FECH","ADUANA","PAIS4","CODPAI4","CODSAL3","ODSAL3","DEPTOPROCED","VIA4","BANDERA4","REGIMEN4","MODAD4","FORPA4","CERORI3","SISESP4","POSARA","DPTOR4","UNIDAD4","CODUNI4","CANTIDA4","PBK4","PNK4","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
504,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,6302600000,"08",11,"U",25246,4885.02,4451,34643.64,81966159.37,18967.71,1220.14,0,0
504,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,9506690000,"08",11,"U",15440000,56739.02,49020,152407,360183463.1,69075.58,0,0,0
504,"02",23,"DEU",2,"BAQ","08",1,"047",1,"198",1,6,1,3921120000,"11",33,"KG",61051.74,61948.29,61051.74,192466.51,451272110.5,123404.4,4528.28,68.93,0
504,"02",23,"DEU",2,"BAQ","08",1,"047",1,"198",1,6,2,3921120000,"11",33,"KG",269.86,296.85,269.86,1137.46,2667195.83,0,5,0.4,0
504,"02",23,"DEU",2,"BAQ","08",1,"472",1,"198",1,8,2,503000000,"08",33,"KG",5353.2,6700,5353.2,7494.5,17795465.42,0,0,0,0
504,"02",23,"DEU",2,"BAQ","08",1,"827",1,"198",1,6,1,6302600000,"08",11,"U",274800,82361,76031,296352,697363672.3,168092.5,12612,0,0
504,"02",23,"DEU",2,"BAQ","08",1,"827",1,"198",1,6,1,9603290000,"08",11,"U",5472,213.78,202.64,735.4,1730513.87,554.82,91.88,2.64,0
504,"02",23,"DEU",2,"BAQ","08",1,"827",1,"198",1,6,1,9615110000,"08",11,"U",2097,2196.15,2081.76,10258.85,24140715.47,5854.04,1281.69,36.93,0
504,"02",23,"DEU",2,"BAQ","08",1,"827",1,"198",1,6,1,9615900000,"08",11,"U",247,253.13,239.95,1220.1,2871090.52,1006.69,152.43,4.39,0
504,"02",23,"DEU",3,"BOG","08",4,"023",1,"198",1,8,2,510001000,"08",33,"KG",2,5,2,13600,31714520,0,0,0,0
504,"02",27,"ABW",2,"BAQ","11",1,"043",1,"002",2,8,2,4911100000,"11",33,"KG",52.8,53.3,52.8,255.28,606154.7,0,0,0,0
504,"02",27,"ABW",2,"BAQ","25",1,"043",1,"198",1,8,1,401100000,"25",61,"L",1200,1336.41,1200,708,1681124.76,545.16,0,0,0
504,"02",27,"ABW",2,"BAQ","25",1,"043",1,"198",1,8,1,401200000,"25",61,"L",16188,18028.24,16188,9550.92,22678373.01,7545.23,0,0,0
504,"02",27,"ABW",2,"BAQ","25",1,"043",1,"198",1,8,1,2202900000,"25",61,"L",5340,5947.05,5340,5080.8,12064207.18,3990.46,0,0,0
504,"02",27,"ABW",2,"BAQ","25",1,"043",1,"198",1,8,2,2202900000,"25",61,"L",1488,1649.2,1488,1220.16,2897233.32,0,0,0,0
504,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1704101000,"05",33,"KG",282,322.26,282,810,1903338,801.35,0,0,0
504,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1704901000,"05",33,"KG",1176.85,1344.88,1176.85,2017.5,4740721.5,1870.39,0,0,0
504,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905310000,"05",33,"KG",29919.48,33335.92,29919.48,41233.8,97228559.4,36882.23,0,0,0
504,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905320000,"05",33,"KG",126,143.99,126,330,775434,297.75,0,0,0
504,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905901000,"05",33,"KG",1474.8,1685.37,1474.8,3441,8085661.8,2741.41,0,0,0
504,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,2,2106102000,"05",33,"KG",198,241,198,309.59,727474.58,0,0,0,0
