"FECH","ADUANA","PAIS4","CODPAI4","CODSAL3","ODSAL3","DEPTOPROCED","VIA4","BANDERA4","REGIMEN4","MODAD4","FORPA4","CERORI3","SISESP4","POSARA","DPTOR4","UNIDAD4","CODUNI4","CANTIDA4","PBK4","PNK4","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
511,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,5,1,9506690000,"08",11,"U",5258000,19322.02,16693,44931.7,102452813,22358,0,0,0
511,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,6302600000,"08",11,"U",110868,19612.02,17851,126819.38,289018381.9,98849.25,2667.44,0,0
511,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,8,1,9506690000,"08",11,"U",25998000,95536.06,82535,215130.2,490089632.2,106618.5,0,0,0
511,"02",23,"DEU",2,"BAQ","08",1,"434",1,"198",1,8,2,9601900000,"08",11,"U",857520,74900,71460,21687,49466745.78,0,0,0,0
511,"02",23,"DEU",2,"BAQ","08",1,"827",1,"198",1,8,1,9503900000,"08",11,"U",416000,1347.99,1286.06,12982.6,29540608.04,9402.09,1396,35.95,0
511,"02",23,"DEU",3,"BOG","08",4,"023",1,"198",1,8,2,510001000,"08",33,"KG",2,5,2,15400,35154504,0,0,0,0
511,"02",23,"DEU",3,"BOG","20",4,"169",1,"199",2,8,2,4010190000,"47",33,"KG",414,414,414,1500,3251025,0,0,0,0
511,"02",23,"DEU",3,"BOG","47",4,"023",1,"198",1,8,2,1301909000,"47",33,"KG",600,658,600,25200,57460788,0,142.8,0,0
511,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,1,6905100000,"08",11,"U",45564,45955.2,45556.8,8482.32,19322046.37,8482.32,0,0,0
511,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,1,6905900000,"08",11,"U",50,184.6,183,910,2072907.2,910,0,0,0
511,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,2,2523210000,"05",33,"KG",140000,141000,140000,19600,44802268,0,0,0,0
511,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,2,3921120000,"08",33,"KG",7,7.39,7,88.8,202480.87,0,0,0,0
511,"02",27,"ABW",2,"BAQ","08",1,"043",1,"198",1,8,2,4410320000,"08",67,"M3",32.33,21592.61,20445,14627.84,33354254.49,0,0,0,0
511,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,1,6802210000,"08",82,"M2",183.09,4579.35,4578,4818.95,10989278.15,3082,0,0,0
511,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,1,6802230000,"08",82,"M2",88.05,2180.64,2180,3345.9,7630090.74,1003,0,0,0
511,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,2,4418100000,"08",11,"U",12,213.1,213,688.8,1570760.18,0,0,0,0
511,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,2,4418200000,"08",11,"U",12,213.1,213,642,1464036.06,0,0,0,0
511,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,2,4418500000,"08",11,"U",223,3973.81,3972,514.5,1173281.24,0,0,0,0
511,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,2,7314390000,"08",33,"KG",322,330,322,1590,3625883.7,0,0,0,0
511,"02",27,"ABW",2,"BAQ","08",1,"434",1,"198",1,8,2,9403400000,"08",11,"U",8,500,498,2205,5028348.15,0,0,0,0
511,"02",27,"ABW",3,"BOG","08",4,"169",1,"002",2,8,2,8452290000,"08",11,"U",3,235,225,210,478323.3,0,0,0,0
511,"02",43,"ATG",2,"BAQ","08",1,"043",1,"198",1,8,1,5903100000,"08",82,"M2",9776.4,6744.5,6657,18221.43,41117932.3,12938.43,0,0,0
511,"02",43,"ATG",2,"BAQ","08",1,"043",1,"198",1,8,2,3921190000,"08",33,"KG",1000,1000.21,1000,6147,14016327.93,0,0,0,0
511,"02",43,"ATG",2,"BAQ","08",1,"043",1,"198",1,8,2,4107190000,"08",82,"M2",7636.84,1375.29,1375,17447.28,39783113.38,0,0,0,0
511,"02",43,"ATG",2,"BAQ","11",1,"580",1,"002",2,8,2,6905100000,"11",11,"U",168,161.04,160,0.4,913.07,0,0,0,0
511,"02",43,"ATG",2,"BAQ","11",1,"580",1,"002",2,8,2,6907900000,"11",82,"M2",4,0.25,0.22,0.7,1597.87,0,0,0,0
511,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905310000,"05",33,"KG",32528.04,36046.68,32528.04,43649.28,99492795.59,39361.91,0,0,0
511,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,1,1905901000,"05",33,"KG",1128,1264.04,1128,1824,4159504.32,1659.01,0,0,0
511,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,2,2106102000,"05",33,"KG",198,241,198,309.59,705998.32,0,0,0,0
511,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,2,3208200000,"05",33,"KG",200,200,200,864,1968606.72,0,0,0,0
511,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,2,3920590000,"05",33,"KG",1200,1200,1200,407.5,928480.6,0,0,0,0
511,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,2,4203290000,"05",11,"U",258,250,250,187.2,426531.46,0,0,0,0
511,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,2,6109100000,"05",11,"U",58,50,50,28.5,64936.68,0,0,0,0
511,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,2,6306110000,"05",11,"U",29,38.11,34.65,986,2246581.28,0,0,0,0
511,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,2,6913900000,"05",11,"U",55,1500,1500,1248.6,2844910.13,0,0,0,0
511,"02",47,"ANT",2,"BAQ","05",1,"043",1,"198",1,8,2,8421999000,"05",11,"U",4,125,125,193,439746.64,0,0,0,0
