"FECH","ADUANA","PAIS4","CODPAI4","CODSAL3","ODSAL3","DEPTOPROCED","VIA4","BANDERA4","REGIMEN4","MODAD4","FORPA4","CERORI3","SISESP4","POSARA","DPTOR4","UNIDAD4","CODUNI4","CANTIDA4","PBK4","PNK4","FOBDOL4","FOBPES4","AGRENA4","FLETES4","SEGURO4","OTROSG4"
501,"02",23,"DEU",2,"BAQ","08",1,"043",1,"198",1,6,1,6302600000,"08",11,"U",49002,13966,12664,106999.6,255702294.1,70282.04,2588.69,0,0
501,"02",23,"DEU",2,"BAQ","08",1,"043",1,"199",1,8,2,2930909900,"08",33,"KG",7985,8849,7985,66774,158512127.6,0,1500,397,0
501,"02",23,"DEU",2,"BAQ","08",1,"047",1,"198",1,6,1,6302600000,"08",11,"U",47718,9797,8931,67391.34,159977606.4,44914.54,3248.51,0,0
501,"02",23,"DEU",2,"BAQ","08",1,"573",1,"198",1,8,1,2401202000,"08",33,"KG",217800,234135,217800,689990.4,1637940611,675638.4,0,0,0
501,"02",23,"DEU",2,"BAQ","08",1,"827",1,"198",1,8,1,9503900000,"08",11,"U",604000,2001.03,1906.64,17871.5,41826816.03,12473.45,1465.99,48.34,0
501,"02",23,"DEU",3,"BOG","08",4,"023",1,"199",1,8,2,9018909000,"08",11,"U",1,115,103,3748.12,8945525.56,0,0,0,0
501,"02",23,"DEU",3,"BOG","08",4,"023",1,"002",2,8,2,3923290000,"08",11,"U",120,313,313,200,471708,0,0,0,0
501,"02",23,"DEU",3,"BOG","08",4,"023",1,"002",2,8,2,6302600000,"08",11,"U",462,265,228,462,1104064.5,0,0,0,0
501,"02",23,"DEU",3,"BOG","08",4,"573",1,"198",1,8,2,6306910000,"08",11,"U",1080,2435,2326.87,16522.6,39208579.59,0,5808.07,0,1056.55
501,"02",27,"ABW",2,"BAQ","08",1,"573",1,"198",1,8,1,2523210000,"05",33,"KG",112000,112800,112000,14560,34563401.6,14414.4,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,1,1516200000,"11",33,"KG",3402,3515.57,3402,2284.61,5459646.75,2248.87,279.9,2.65,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,1,1517100000,"11",33,"KG",7152.5,7391.28,7152.5,4765.38,11388066.85,4505.12,583.83,5.52,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,1,1517900000,"11",33,"KG",1803.2,1863.4,1803.2,1659.21,3965097.1,1349.7,203.28,1.92,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,1,9603290000,"08",11,"U",2088,131.54,119.68,1430.64,3374221.66,1345.58,0,0,21.27
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,1,9615110000,"08",11,"U",19,13.12,11.94,48,113209.92,46.32,0,0,0.71
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,1,9615900000,"08",11,"U",1137,1225.01,1114.57,4576.32,10793433.77,3975.11,0,0,68.03
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,1101000000,"08",33,"KG",15000,15015.69,15000,5703,13526204.31,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,1517100000,"11",33,"KG",3750,3839.75,3750,2505.19,5986777.8,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,2007999100,"08",33,"KG",50,50,50,40.5,96056.69,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,2208904200,"08",61,"L",225,4124.31,4120,19789.5,46936142.42,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,2309909000,"08",33,"KG",12350,12350,12350,1720.9,4081578.99,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,3210009000,"25",33,"KG",7.6,8,7.6,10,23717.7,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,3301299000,"08",33,"KG",120,120,120,148,351021.96,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,3808109100,"08",33,"KG",20,20,20,56,132819.12,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,3922109000,"25",11,"U",1,370,351.5,890,2110875.3,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,3923100000,"11",11,"U",90,520.2,448.2,1923.47,4596612.43,0,182.99,1.74,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,3926909090,"08",33,"KG",1088,1088,1088,3432.4,8140863.35,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,4409101000,"25",67,"M3",0.2,8452.17,8029.5,5975.25,14171918.69,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,4409102000,"25",67,"M3",0.02,0.2,0.19,0.5,1185.89,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,4415200000,"08",11,"U",2624,19000,17600,7764,18554019,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,4418100000,"25",11,"U",7,301,285.95,1130,2680100.1,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,4418200000,"25",11,"U",8,130.4,123.88,32,75896.64,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,4421909000,"25",11,"U",190,520.6,494.57,475,1126590.75,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,6811100000,"08",82,"M2",23782,289406,289406,64845,154963338.8,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,6811900000,"08",33,"KG",5940.9,5940.9,5940.9,3547.3,8477160.18,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,6904100000,"25",13,"MIL",8.39,15109.11,14353.55,1259.1,2986295.61,0,0,0,0
501,"02",47,"ANT",2,"BAQ","08",1,"043",1,"198",1,8,2,6913900000,"08",11,"U",8,150,150,426,1010374.02,0,0,0,0
